Feature,Coefficient
Condition2_PosA,100882.8270183814
RoofMatl_WdShngl,91675.26720066858
Heating_Wall,59657.88880301059
SaleCondition_Alloca,56071.028263518594
MiscFeature_Othr,51293.66338953617
RoofStyle_Shed,50355.99776515971
Condition2_Feedr,49804.70945013674
RoofMatl_CompShg,47604.71137316548
BsmtCond_Po,45699.630755377475
Neighborhood_StoneBr,45293.26680101422
Condition2_RRAn,44046.43369606671
MiscFeature_Shed,41728.454859139034
GarageType_CarPort,39860.89330781954
MSZoning_FV,38321.673353547965
Condition2_RRNn,33834.607020993244
Exterior2nd_ImStucc,30541.838167913847
Heating_GasW,29710.328243469357
Condition2_Norm,29397.66078801266
MSZoning_RL,28961.68854923983
Neighborhood_NoRidge,28891.507601595116
MSZoning_RH,28205.094212380813
Heating_Grav,26923.816294330725
SaleType_Con,26159.698665506614
MSZoning_RM,26108.357340987044
Neighborhood_NridgHt,25667.76586697958
Heating_GasA,25434.824043354525
LandContour_HLS,24005.804654733023
GarageType_Basment,23124.81699203144
SaleType_Oth,22882.089280385066
SaleCondition_Partial,22550.566708228675
GarageType_BuiltIn,20732.831251907643
GarageType_Attchd,20720.359808144563
SaleType_CWD,19962.40758545379
Street_Pave,19572.243823909575
HouseStyle_1.5Unf,19246.16085502722
GarageType_Detchd,18655.053202187893
SaleType_ConLD,17164.84882230722
LandContour_Lvl,15596.914023346231
Condition1_Norm,15045.832022600323
Condition1_PosA,14416.092232480447
RoofMatl_WdShake,14012.66425611285
Exterior1st_Stone,13959.24113246639
BsmtExposure_Gd,13831.864214318946
Condition1_RRNe,13823.48257952924
RoofMatl_Tar&Grv,12552.691092396102
Condition1_RRAn,12466.537401369802
ExterCond_Fa,11437.812622856782
Neighborhood_NPkVill,11128.457388432831
LotConfig_CulDSac,11052.898137071756
RoofMatl_Roll,10908.774926224394
Neighborhood_Crawfor,10579.61187332444
Condition1_PosN,10340.751245284027
MasVnrType_Stone,10010.396578136453
HouseStyle_1Story,9968.335321229433
Exterior1st_AsphShn,9947.10077268345
Exterior1st_BrkFace,9813.534517102831
GarageCars,9566.455206420922
LotShape_IR2,9395.13028088213
ExterCond_TA,9178.273451983956
FireplaceQu_TA,9162.280415027504
ExterCond_Gd,9110.457372487257
